"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"1","LEF1","SLC13A3","CDK6","CCR6","BRAF","AXIN2","TSC1","TBX3","DNMT3A","KLRC1","CCL11","TGFBR3","PRKCA","TP63","FZD7","NOTCH1","MSH3","NRAS","AKT2","NFE2L2","LRP6","IL22","PMS2","FGFR3","IL12B","LRP5","ERBB2","PIK3CA","IFITM1","MTOR","CD207","RORC","CREBBP","MPO","PTGDR2","IKZF4","TBK1","TGFBR2","STING1","SMARCA4","EPHB4","STAT6","LGR6","MAML1","NEDD4","TSC2","INSR","KIT","ROR1","CDKN1A"
"2","COL1A1","COL5A1","DES","ACTA2","FN1","COL11A1","PDGFRB","CD248","SMOC2","MMP11","PDGFRA","FAP","SMO","FGFR1","SNAI2","MYH11","LOX","TGFB3","ELN","FGF1","COL6A3","FBLN1","SFRP2","TNC","CLCA1","ANGPT1","TWIST1","WWTR1","PDPN","CCL26","TNFSF4","CAV1","CD1E","AKT3","ROR1","MFAP5","VCAM1","SERPINE1","COL4A1","ITGA1","MMP2","TCL1A","ANGPT2","HGF","ZEB1","CXCL12","PDGFC","TGFBR1","VEGFB","VEGFC"
"3","SERPINA1","MMP1","CEACAM1","S100A9","DUSP6","CEACAM8","CDKN1A","NFKB2","PRTN3","RELA","CD276","STAT3","IFNGR2","NOS2","PPARD","TNFRSF9","FLI1","TCF7L2","CD177","MUC1","IL21","IFNG","NFKBIA","TCL1A","BAK1","LGALS9","IL17A","CD1E","STING1","YAP1","IFNGR1","MMP2","FOSL1","TGFBR1","CCL7","TNFSF9","EPHA2","BCL2L1","FCER2","KIR2DL4","CXCL16","TBX10","TAPBP","LRP1","NFKB1","FABP2","PDPN","CCR3","CD8B","IL22"
"4","C1QC","CSF1R","CYBB","CD163","MRC1","TREM2","LYZ","CD209","HLA.DQA1","FCGR3A","CMKLR1","MSR1","CD14","TLR1","PDCD1LG2","MAFB","CD86","ITGB2","HLA.DPB1","CD4","IRF5","ITGAM","SIGLEC1","CSF2RA","HAVCR2","IDO2","CX3CR1","CD40","CD1C","TLR2","TGM2","CCR1","FCGR2A","IL10","CD80","HLA.DPA1","IL13","CXCL16","FCER1A","NRP1","ITGA4","TGFBR1","HIF1A","CD207","STAT5A","CXCL9","MS4A1","XCR1","IL2RA","CLEC4C"
"5","PKM","DIABLO","BRD4","HDAC3","MAP2K1","HRAS","LMNA","KRAS","EGF","SMAD2","HDAC1","PDGFC","IDH1","CD276","RELA","MTOR","NRAS","NFKB1","SOX2","VEGFB","LDHA","PTK2","CCL7","CCL1","LGALS9","TGFB2","IFNG","YAP1","BAK1","SELP","NFE2L2","CCR3","SHARPIN","IFNB1","IL4","AKT1","IL17A","KLRF1","CXCL16","MMRN1","KLRC1","STAT3","CTNNB1","MAML1","CD226","CD244","MUC4","CD70","SELL","CD177"
"6","CCNB1","PLK1","MKI67","AURKA","BUB1","AURKB","BIRC5","FOXM1","XCL1","ESCO2","CHEK2","EZH2","MYBL2","KIR3DL2","BRCA1","IDO2","IL5RA","CHEK1","FGFBP2","SLC13A3","ROR1","TRAT1","TNFRSF13C","ELANE","PGLYRP1","IL22","CD70","IL10","LAG3","TP63","CD1B","CD226","TNFRSF13B","PTGDR2","KLRF1","CCL1","VTN","TSC2","IL17A","IL13","TCL1A","CCL7","IL21","CD68","FLI1","CD1E","TGM2","CCL28","CCL26","IL4"
"7","SOX9","WNT3","IKZF4","EPHB4","CCL17","EGF","LGR6","CR2","YAP1","TBX21","TCF7L2","IGF1","CEACAM8","BRD4","CREBBP","LRP5","SPRY2","SHARPIN","MUC1","IKBKB","ERBB3","MAML1","TSC2","ERBB2","CD177","DUSP6","IL1R2","IL22","TGFBR2","STAT6","MPO","JUN","ATR","IRF3","CTLA4","TGM2","IL4","CDH1","IGF1R","CCL11","MTOR","PMS2","MET","PTGDR2","AKT1","PGLYRP1","PROK2","SMARCA4","PIK3CA","COL6A3"
"8","ZBED2","LAMC2","LAMB3","FGF2","MMP7","PDGFA","CCND1","ITGB1","MET","EPHA2","PDGFB","AMOTL2","EGFR","RET","IL17A","TGFBR2","LGR6","FOSL1","BCL2L1","IL23A","CD276","TEAD1","LMNA","DKK1","PPARD","CR2","TP63","NFKB2","TGFBI","CCR3","CASP8","CAV1","TSC2","TCL1A","PIK3CA","CCL26","IL12B","IGF1R","EPHB4","CXCL1","CCL1","PTK2","CDH1","DUSP6","APC","IRF3","WNT3","KRAS","TBK1","CDKN1A"
"9","PROX1","GPX3","LGR5","FGFR2","IRF3","IGF1R","TCF7L2","YAP1","ASCL2","MAML1","TGFB1","DKK1","PAX5","PTGDR2","INSR","LRP5","IL23A","KLF2","BCL2L1","SMARCA4","CREBBP","MPO","NOTCH1","PTK2","PMS2","AKT1","APC","PRKCA","TGFBR3","ARAF","TSC1","CEACAM8","VEGFB","TBK1","AXIN2","ERBB2","LRP6","TEAD1","TMEM59","SHARPIN","PIK3CA","AKT2","FGFR3","ITGB1","IFNAR1","BRD4","STAT6","CSF2","CCR6","IKBKB"
"10","FOS","EGR1","PLA2G2A","DUSP1","JUNB","ATF3","JUN","IGF1","CD1B","IL1R2","CCR3","CTSG","CR2","CXCL12","IL5RA","PDK4","SOX2","KLF2","IL22","KIT","MMP2","FOSL1","IKZF4","EGF","WNT3A","XCL1","ELANE","LMNA","CCL11","CCR10","IL12B","CCL1","CDKN1A","TEK","KIR3DL2","MMRN1","MPO","TGFBR3","NFKBIA","CXCR2","CX3CR1","TSC2","PROK2","DUSP6","ROR1","TCL1A","VTN","CD207","CXCL2","TWIST1"
