"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"1","FOS","EGR1","JUNB","SOCS3","IL1B","PTGS2","CXCL8","ATF3","JUN","NFKBIA","DUSP1","PLA2G2A","CSF3R","CEBPB","FFAR2","CCL3","CXCL5","PROK2","IL6","CXCR1","IL1R2","CXCR2","CD83","ELANE","CXCL2","CXCL1","CSF2","PGLYRP1","CCR10","PPARGC1A","CD1B","CCR3","KIR2DL4","IL12RB2","TMEM59","CD70","TNFSF4","IRF5","PKIB","LEF1","ICOSLG","MMP7","ICOS","PIK3CA","SMARCA4","MSR1","TP53","CD40LG","CXCR3","CD3G"
"2","MZB1","CD79A","XBP1","POU2AF1","FCRL5","IRF4","DERL3","CD27","TNFRSF13C","CD79B","CD19","PDK1","VSIR","ICAM3","IFNAR2","BLK","BMI1","MS4A1","HLA.C","STAP1","PIK3CG","IL6R","TMEM59","PAX5","ATM","CD22","XCR1","CCR2","IL5RA","NCR1","COL6A3","CXCL1","CCL4","CCL3","CD83","PDGFA","ITGAX","PTK2","CSF3R","ANGPT2","CX3CL1","NOS3","TBX3","CD248","THBD","CXCL9","CXCL11","IL4I1","TIGIT","ZBED2"
"3","TGFBI","TGFBR2","IL12B","EGF","SOX2","CASP8","TBX10","DUSP6","CCL1","PGLYRP1","VTN","CCL7","IL13","KIR3DL2","KLRF1","CD68","TCL1A","CCL28","IL22","CCL26","PPARGC1A","FLI1","ELANE","CD160","IL4","IL10","IDO2","FABP2","ARG1","IFNB1","IL5RA","CD1B","FGFBP2","PDGFC","RET","PRTN3","CLCA1","CR2","CD8B","MPO","CXCR2","ROS1","MTOR","ROR1","TNFRSF13B","CD207","MMP2","CCR10","CD177","WNT3A"
"4","CXCL10","HLA.DRA","IDO1","TAP2","TAP1","STAT1","HLA.B","CXCL11","CIITA","ICAM1","HLA.DMA","HLA.DRB1","TAPBP","SOD2","CX3CL1","TNFSF10","LAMP3","BST2","CCL22","CXCL9","CD274","CSF3","NFKB2","NLRC5","BTLA","MUC4","FGFBP2","CCL17","EPHA4","CLEC4C","MPO","FCER2","FCER1A","CR2","VTN","FLI1","IL4","TBX10","MMP2","CEACAM8","FGFR2","SIGLEC1","LEF1","RORC","CD209","DUSP6","WNT3","SLC13A3","TGFBR3","MSR1"
"5","MKI67","PLK1","CCNB1","AURKA","BIRC5","FOXM1","AURKB","BUB1","CHEK2","RAF1","BRD4","ESCO2","XCL1","CCL28","TBX10","TMEM59","LGR5","IRF5","CXCL2","IL6","LEF1","RORC","MMP7","CXCL1","TGFBR3","FGFR3","DNMT3A","SELPLG","CCL4","KLRB1","IL6R","CCNE1","STAT5A","PDGFA","SRC","CDK6","ITGAX","VSIR","KLF2","STAT3","CSF3R","IFITM1","ITGA4","CX3CL1","FZD7","CD248","STAT4","COL11A1","CXCL9","CXCL11"
"6","SERPINA1","MMP1","S100A9","CEACAM1","NOS2","MUC1","STAT3","CEACAM8","PRTN3","IL22","CCL7","CCL1","TSC2","KIR3DL2","TP63","IL4","IDO2","ARG1","IL5RA","PAX5","CLCA1","CXCR2","ROR1","CCR10","XCR1","WNT3A","CSF2","ANGPT1","CXCR5","CD226","FGF1","ATM","FGFR2","CCL17","CXCR1","CD70","LGR5","MUC4","IKZF4","PMS2","SMO","IL12B","IRF5","SOX2","CCR2","SIGLEC1","PTEN","CASP8","TRAT1","CA7"
"7","CDH1","EPCAM","ERBB3","SPRY2","TMEM37","SRPRB","SRC","ARAF","TBK1","SMARCA4","PTEN","TGFB2","IFNB1","FABP2","KIR3DL2","TP63","CD1B","FGFBP2","PAX5","PDGFC","CR2","CCR3","CXCR2","CD207","FGFR2","CCL17","IL1R2","DKK1","LGR5","CXCL2","TNF","CA7","CXCL12","IL6","CXCL5","CX3CR1","LEF1","PDCD1LG2","TEK","TNFRSF9","MMP7","FGF2","FASLG","FOSL1","CXCL1","CD86","CCL2","TBX21","SELPLG","CD3G"
"8","PLVAP","VWF","COL4A1","ENG","CDH5","MMRN2","KDR","PGF","PECAM1","CLEC14A","ADAMTS4","INSR","FLT4","CLDN5","PDGFB","ANGPT2","FLT1","ITGA5","THBD","PREX2","IL3RA","KLF2","SNAI1","CAV1","VEGFC","TEK","WWTR1","NOS3","NRP1","ZEB1","MMRN1","HIF1A","SELP","TP53","CXCL12","AKT3","ICAM2","SERPINE1","CD68","COL6A3","CCL22","CXCL1","EOMES","TNFSF9","ITGAX","IRS1","CSF3R","GATA3","PLA2G2A","CXCR6"
"9","EPHB3","PROX1","ASCL2","CTNNB1","CDKN1B","NOTCH1","DNMT3A","RGMB","LGR5","IGF1R","FGFR2","IL23A","TSC1","IFNAR1","MAML1","CCL1","VTN","KLRF1","CCL26","PPARGC1A","TP63","FABP2","IFNB1","CD1B","CCR3","KIR2DL4","CD207","CD177","IFNG","CD1C","CLEC4C","CCL17","MUC4","EGF","SH2D1B","SIGLEC1","CA7","BLK","PROK2","PKIB","IL12A","WNT3","TEK","SLC13A3","FOSL1","CD86","MS4A1","CSF3","TBX21","FGFR3"
"10","COL1A1","FN1","ACTA2","COL5A1","PDGFRB","SFRP2","DES","MMP11","COL11A1","PDGFRA","FBLN1","CD248","MYH11","SMOC2","TGFB3","FGFR1","TNC","COL6A3","FAP","LOX","SNAI2","ELN","SMO","ITGA1","MFAP5","WNT5A","PDPN","TWIST1","FGF1","ANGPT1","CLCA1","VCAM1","ROR1","TNFSF4","HGF","CD1E","CCL26","MMP2","TCL1A","CD177","STAP1","NCR1","CCL4","PRF1","KLRB1","PDCD1","CD28","CD83","LAMP3","ICAM2"
