"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"1","FOS","EGR1","PTGS2","CXCL8","FFAR2","ATF3","CXCL5","IL1B","SOCS3","PLA2G2A","PROK2","CSF3R","JUNB","CXCR1","CXCR2","IL1R2","CCL3","IL6","ELANE","NFKBIA","PGLYRP1","CEBPB","JUN","DUSP1","PPARGC1A","CSF2","CXCL2","CCR10","CD83","CD1B","CXCL1","CCR3","WNT3A","CCL1","IL5RA","TSC2","KIR3DL2","CDKN1A","PDK4","FOSL1","SOD2","CR2","FABP2","IL22","VTN","IGF1","CD68","TCL1A","ITGAX","TNF"
"2","MZB1","CD79A","FCRL5","POU2AF1","XBP1","IRF4","DERL3","CD19","TNFRSF13C","CD79B","BLK","VSIR","CD27","STAP1","IFNAR2","PAX5","MS4A1","BMI1","ICAM3","TMEM59","PDK1","ATM","XCR1","IL6R","IL5RA","PIK3CG","CD22","CCR2","HLA.C","TNFRSF13B","ICAM2","FCER2","IFNAR1","VEGFB","TCL1A","SRPRB","PPARGC1A","IL13","CR2","ARAF","HIF1A","BRAF","MTOR","MMP2","PECAM1","CTSG","MFAP5","SIGLEC1","IL21","IRF3"
"3","TGFBI","IL12B","EGF","SOX2","TGFBR2","CASP8","TBX10","DUSP6","KIR2DL4","IFNAR1","NCR1","CXCR5","VEGFB","LGR6","CD276","SPRY2","WNT3","SMAD2","TGFB1","ZBED2","CTNNB1","BST2","NFE2L2","TGFBR1","PTK2","ITGB1","BMI1","MSH3","SHARPIN","HDAC3","EPHB4","PTEN","TBK1","FGF2","IFNGR2","RB1","ARAF","PRKCA","PIK3CA","LAMP3","SRPRB","TSC2","IKZF4","CCR3","TGM2","BAX","IGF1R","MAP2K1","STAT1","YAP1"
"4","CXCL10","IDO1","CXCL11","CX3CL1","STAT1","CCL22","TAP1","CD274","TAP2","LAMP3","CIITA","FGFBP2","TNFSF10","BTLA","CSF3","ICAM1","MUC4","HLA.DMA","HLA.DRA","CXCL9","CCL17","VTN","NLRC5","HLA.DRB1","TAPBP","CLEC4C","HLA.B","SOD2","MPO","EPHA4","CR2","BST2","NFKB2","FLI1","FCER1A","FCER2","IL4","LGALS9","CCL7","BAK1","IL21","CXCL1","NFKB1","HLA.C","TGFB2","HLA.DPA1","STAT5A","CD83","CCR10","CXCL2"
"5","PLK1","CCNB1","MKI67","AURKA","AURKB","BUB1","BIRC5","FOXM1","XCL1","CHEK2","RAF1","ESCO2","BRD4","KIR3DL2","MAML1","MTOR","IL22","TEAD1","EZH2","SLC13A3","PDGFC","HRAS","IL5RA","CREBBP","CCL1","WNT3","NFKB1","IL21","IL17A","KLRF1","MYBL2","CD226","TGFB2","TGFBR1","IL4","PGLYRP1","HDAC1","IL10","MUC4","BRCA1","HDAC3","MLH1","LMNA","ATR","BAX","CCL7","TSC2","AKT1","ROR1","CD68"
"6","MMP1","SERPINA1","S100A9","CEACAM1","CEACAM8","PRTN3","NOS2","STAT3","MUC1","IL22","CCL7","DUSP6","LGALS9","CD276","CDKN1A","IFNGR2","BAK1","IL21","FLI1","MMP2","TCF7L2","TNFRSF9","TBX10","YAP1","RELA","NFKB2","FABP2","IFNB1","IFNG","CD177","TAPBP","PTGDR2","IFNGR1","IL17A","PDPN","NFKBIA","KIR2DL4","FCER2","CD8B","CSF3","CEBPB","ELANE","IFITM1","TMEM37","MPO","IFNAR1","LRP1","HLA.B","NFKB1","TGFB2"
"7","SPRY2","CDH1","ARAF","ERBB3","IFNB1","SRC","SRPRB","TMEM37","EPCAM","PTEN","FABP2","TBK1","TGFB2","SMARCA4","ATR","APC","IFITM1","PTK2","SHARPIN","PIK3CA","KRAS","STAT6","CD276","ERBB2","MSH3","IKBKB","CREBBP","SMAD2","PMS2","IRS1","NFE2L2","BAX","BAK1","RAF1","LRP6","CCL28","HDAC3","MAML1","IFNAR1","IGF1R","MTOR","LGALS9","HLA.B","TCL1A","TGFBR1","BRAF","TAPBP","IFNGR1","IDH1","CASP8"
"8","PLVAP","VWF","CLDN5","CDH5","KDR","PGF","MMRN2","CLEC14A","FLT1","TEK","FLT4","ENG","PREX2","ADAMTS4","IL3RA","ANGPT2","SNAI1","VEGFC","COL4A1","THBD","PDGFB","KLF2","ITGA5","INSR","CAV1","MMRN1","ZEB1","PECAM1","NOS3","WWTR1","NRP1","SELP","CXCL12","TP53","CD68","HIF1A","AKT3","ICAM2","SERPINE1","PTK2","CD276","IL4","ETS1","STING1","EPHA4","VCAM1","IL17A","PDK4","TGFB1","TNFRSF4"
"9","EPHB3","PROX1","ASCL2","LGR5","FGFR2","CDKN1B","DNMT3A","RGMB","NOTCH1","IGF1R","CTNNB1","IL23A","IFNAR1","TSC1","MAML1","PIK3CA","PTGDR2","APC","CCL7","SMARCA4","PMS2","HDAC3","PTEN","CREBBP","CR2","PTK2","DKK1","IRF3","TEAD1","VEGFB","TBX10","CDK6","LRP6","IL21","ATR","TBK1","BRAF","ICOSLG","ARAF","SMAD2","LRP5","JUN","SPRY2","CSF2","BRD4","TCL1A","CCL11","BMI1","STAT3","EPHB4"
"10","COL1A1","DES","COL5A1","COL11A1","ACTA2","PDGFRB","FN1","PDGFRA","SMO","SMOC2","MMP11","SFRP2","FBLN1","MYH11","COL6A3","LOX","TNC","FAP","ELN","CD248","CLCA1","FGFR1","ANGPT1","TWIST1","FGF1","SNAI2","WNT5A","TGFB3","MFAP5","CD1E","PDPN","CCL26","ROR1","ITGA1","VCAM1","HGF","TCL1A","MMP2","TNFSF4","SERPINE1","PDGFC","TGFBR1","AKT3","CCL2","CXCL12","CD276","TGFB1","PTEN","VEGFB","WNT3A"
