"","topic","","","","","","","","","","","","","","","","","","","",""
"original","1","PKM","NDUFA4L2","CA9","MYC","EPCAM","LDHA","CDKN1A","YAP1","XBP1","ITGB1","BCL2L1","NFE2L2","IDH1","BAK1","SMAD2","FOS","PLOD2","LMNA","HDAC1","JUNB"
"TFIDF","1","CA9","EPCAM","YAP1","FOS","SMAD2","PLOD2","XBP1","JUNB","MYC","CEBPB","FZD7","IFNGR2","HRAS","LDHA","DDIT3","PMS2","MAFB","TNC","NRAS","MMRN1"
"weighting","1","PKM","NDUFA4L2","CA9","LDHA","CDKN1A","YAP1","BCL2L1","XBP1","BAK1","IDH1","SMAD2","VEGFB","PLOD2","HRAS","KRAS","NFE2L2","LMNA","MAP2K1","FZD7","EGF"
"original","2","EPCAM","HLA.B","CDH1","LRP1","HLA.DRA","ERBB3","JUN","ERBB2","HLA.C","TAPBP","ITGB1","AMOTL2","IFNGR2","MUC1","LAMB3","CEACAM1","HLA.DRB1","SLC26A3","TAP2","JUNB"
"TFIDF","2","CDH1","JUN","TAPBP","LAMB3","HLA.DRB1","JUNB","LGALS9","EPCAM","TAP1","NFKBIA","NRAS","RORC","TNFSF10","BCL2L1","TGFB2","SPRY2","SRC","CEACAM1","IFITM1","CDKN1A"
"weighting","2","HLA.B","EPCAM","CDH1","HLA.C","LRP1","TAPBP","ERBB2","AMOTL2","ERBB3","MUC1","IFNGR2","SLC26A3","HLA.DRB1","TMEM37","IFNGR1","MMP1","HLA.DMA","TNFSF10","LAMC2","CXCL16"
"original","3","COL1A1","SPP1","FN1","HLA.DRA","ACTA2","SERPINE1","LYZ","MMP9","COL4A1","MMP12","PKM","COL5A1","C1QC","HLA.B","PLVAP","CYBB","IL4I1","FCGR3A","HLA.DPB1","VWF"
"TFIDF","3","SPP1","LYZ","NRP1","PECAM1","SOD2","VWF","CAV1","ITGB1","ANGPT2","CD4","CD14","CD83","MRC1","TNC","NFKBIA","CEBPB","GPX3","RELA","MAP2K1","IL4I1"
"weighting","3","COL1A1","SPP1","FN1","ACTA2","SERPINE1","LYZ","MMP9","MMP12","COL4A1","COL5A1","C1QC","HLA.DRA","PLVAP","CYBB","IL4I1","VWF","ENG","HLA.DPB1","CD14","TNC"
"original","4","MKI67","MYBL2","MCM2","PCNA","ASCL2","CDK2","PLK1","MCM6","EZH2","AKT1","BIRC5","AURKA","FOXM1","E2F1","CDK4","CCNB1","MSH2","PKM","MSH6","BRCA1"
"TFIDF","4","MCM2","PCNA","CDCA7","PKM","CCNB1","BUB1","PLK1","SRPRB","INSR","SMAD2","MAML1","CHEK2","SOD2","NFKBIA","DIABLO","WNT3","ASCL2","CD83","SHARPIN","NFE2L2"
"weighting","4","MKI67","MYBL2","MCM2","PCNA","CDK2","PLK1","MCM6","EZH2","AKT1","BIRC5","AURKA","FOXM1","E2F1","CCNB1","ASCL2","MSH2","MSH6","BRCA1","AURKB","SRPRB"
"original","5","VEGFA","SOX9","JUN","EPHA2","LRP1","FOS","CEACAM1","LAMB3","STAT6","TCF7L2","PDK1","PPARD","CEBPB","DDIT3","YAP1","RELA","PLOD2","ERBB3","CTNNB1","BRD4"
"TFIDF","5","SOX9","VEGFA","LRP1","STAT6","BRD4","YAP1","CDKN1A","NFE2L2","IRF3","FOS","EPHB4","CDH1","AMOTL2","SPRY2","WNT3","CEACAM1","LAMC2","LRP5","ATR","KIT"
"weighting","5","VEGFA","EPHA2","PPARD","TCF7L2","PDK1","DDIT3","CEACAM1","MET","PDGFA","WNT3","NFKB2","LAMP3","KIT","DUSP6","CA7","ROS1","CCL1","TSC2","CEACAM8","CLCA1"
"original","6","GNLY","HLA.B","CSF1","TRAC","CCL5","IL2RB","PKM","ETS1","GZMA","CTSW","ZAP70","CCL3","CD2","TGFBR1","NKG7","CD3E","CXCR1","ITGAX","TGFB1","NCAM1"
"TFIDF","6","GNLY","GZMA","ZAP70","ETS1","CSF1","JUN","CCL4","TAPBP","ITGB1","ITGAX","TIGIT","ITGB2","FOXP3","NOTCH1","KLRK1","NFKB2","IRF3","TNFRSF13C","NFKB1","GZMB"
"weighting","6","GNLY","CSF1","TRAC","CCL5","IL2RB","GZMA","CTSW","ETS1","ZAP70","CCL3","CD2","NKG7","CD3E","TGFBR1","CXCR1","NCAM1","ITGAX","PTPRC","BCL2","CCL4"
"original","7","SOX9","PKM","CTNNB1","HLA.B","HDAC1","BST2","TGFBI","CDK4","YAP1","CCND1","RELA","S100A9","IDH1","SOD2","LGALS9","LMNA","CEBPB","SERPINA1","NFKBIA","BCL2L1"
"TFIDF","7","SOX9","HLA.B","BST2","TGFBI","SPRY2","CEBPB","XBP1","IFNGR2","JUN","AKT1","IFITM1","SERPINA1","LMNA","NOS3","SHARPIN","TBX21","JUNB","LAMP3","CCL11","HRAS"
